,0,1,2,3
0,-7320.078899998219,4864795.302100003,0.0,2.0
1,-7329.403700001538,4864833.493361258,0.0,2.0
2,-7633.096199999253,4864976.028099999,1.0,0.0
3,-7351.266699999572,4864829.525731728,0.0,2.0
4,-7359.226757141628,4864841.750957144,3.0,2.0
5,-7377.846599999814,4864841.108000003,3.0,2.0
6,-7505.7966076940875,4864863.942830766,1.0,1.0
7,-7330.786899998785,4864822.170999996,1.0,2.0
8,-7511.613728570087,4864862.554300003,2.0,1.0
9,-7639.6909999996415,4864914.912799999,2.0,0.0
10,-7536.165800001471,4864897.859200002,3.0,1.0
11,-7318.341099999845,4864814.532499999,1.0,2.0
12,-7349.546000000089,4864846.027787848,1.0,2.0
13,-7523.494399998336,4864951.885300003,1.0,1.0
14,-7342.435300000013,4864756.9575999975,0.0,2.0
15,-7429.617124881595,4864887.150899999,0.0,1.0
16,-7371.659499999136,4864851.11348962,0.0,2.0
17,-7317.526099998502,4864800.712399997,1.0,2.0
18,-7429.617124881595,4864899.692378685,0.0,1.0
19,-7637.140033332631,4864901.254699999,0.0,0.0
20,-7316.51694666793,4864800.7843,4.0,2.0
21,-7370.01060000062,4864847.753600001,3.0,2.0
22,-7457.242100000381,4864810.030100003,1.0,1.0
23,-7457.83181111142,4864831.290899999,2.0,1.0
24,-7611.129000000656,4864978.160700001,3.0,0.0
25,-7421.274410319204,4864855.7189594135,0.0,1.0
26,-7310.7648999989015,4864794.327799998,1.0,2.0
27,-7634.477000001818,4864991.778700002,1.0,0.0
28,-7390.435400001707,4864836.924705662,4.0,2.0
29,-7316.841033332671,4864813.697499998,0.0,2.0
30,-7359.297899998724,4864837.245906658,0.0,2.0
31,-7674.972300000491,4864934.486199996,3.0,0.0
32,-7541.186990476257,4864939.258299999,2.0,1.0
33,-7589.062399998307,4864985.529100001,3.0,0.0
34,-7337.394799999892,4864763.226999998,3.0,2.0
35,-7650.165600001811,4864947.9095575735,1.0,0.0
36,-7333.1832000017175,4864822.766999997,0.0,2.0
37,-7541.186990476257,4864920.726800002,1.0,1.0
38,-7448.133837742701,4864861.809054181,3.0,1.0
39,-7528.73306838274,4864896.600603372,3.0,1.0
40,-7341.214999999851,4864748.045599997,3.0,2.0
41,-7667.351799998431,4864936.670500003,2.0,0.0
42,-7622.132085715021,4864979.609499998,3.0,0.0
43,-7637.177999999373,4864991.734716666,2.0,0.0
44,-7366.242400001734,4864837.914200001,2.0,2.0
45,-7399.109700001777,4864785.8972999975,3.0,2.0
46,-7641.005223076216,4865011.763999999,0.0,0.0
47,-7376.317116655409,4864861.7561028525,1.0,2.0
48,-7327.929099999366,4864824.406999998,1.0,2.0
49,-7638.8308999985475,4865007.160400003,3.0,0.0
50,-7324.582886133345,4864822.170999996,2.0,2.0
51,-7622.325800001622,4864975.387933332,3.0,0.0
52,-7363.28240000084,4864849.206166665,3.0,2.0
53,-7535.209515403957,4864929.947813578,1.0,1.0
54,-7398.428199999034,4864772.226599999,0.0,2.0
55,-7650.165600001811,4864945.2348000035,3.0,0.0
56,-7327.479451861232,4864756.341499998,3.0,2.0
57,-7466.963700000197,4864820.413199998,1.0,1.0
58,-7411.353135820478,4864811.529825352,1.0,2.0
59,-7640.289599999785,4865009.164800003,2.0,0.0
60,-7641.3297999985525,4864920.629500002,2.0,0.0
61,-7351.266699999572,4864837.354500003,0.0,2.0
62,-7640.289599999785,4865008.853,1.0,0.0
63,-7304.483600001781,4864817.599367015,0.0,2.0
64,-7524.863817591222,4864951.943599998,3.0,1.0
65,-7331.464374998585,4864768.513700001,1.0,2.0
66,-7638.80799999833,4864905.532300002,3.0,0.0
67,-7377.8306999988845,4864851.760499999,0.0,2.0
68,-7332.032640001176,4864822.170999996,4.0,2.0
69,-7384.27751818164,4864776.0964,3.0,2.0
70,-7316.963899999858,4864792.170037955,3.0,2.0
71,-7405.22580000013,4864808.256200002,3.0,2.0
72,-7392.357000000774,4864785.2234999975,3.0,2.0
73,-7528.660151862539,4864959.486591443,1.0,1.0
74,-7359.181699999016,4864837.920500003,3.0,2.0
75,-7321.038300000129,4864822.512199998,2.0,2.0
76,-7318.694800000639,4864794.327799998,0.0,2.0
77,-7616.68263333415,4864978.160700001,3.0,0.0
78,-7333.861492905767,4864753.120739415,1.0,2.0
79,-7667.351799998431,4864936.670500003,1.0,0.0
80,-7326.485527322348,4864818.748783605,4.0,2.0
81,-7469.88919999823,4864815.057400003,3.0,1.0
82,-7315.732829999923,4864802.071500003,3.0,2.0
83,-7466.445299256593,4864865.918799996,3.0,1.0
84,-7425.090500000864,4864858.286499999,0.0,1.0
85,-7370.290916494641,4864842.546637629,4.0,2.0
86,-7374.347500000149,4864844.886500002,4.0,2.0
87,-7594.264100000262,4864980.0132,1.0,0.0
88,-7426.483600001782,4864899.974799998,0.0,1.0
89,-7327.929099999366,4864813.9414136065,3.0,2.0
90,-7641.812399998307,4864914.912799999,1.0,0.0
91,-7372.802999999374,4864849.157899998,1.0,2.0
92,-7559.497299998999,4864887.650399998,2.0,1.0
93,-7398.048050001264,4864785.8972999975,3.0,2.0
94,-7351.981125298887,4864843.493344098,0.0,2.0
95,-7323.938927585453,4864817.652299999,2.0,2.0
96,-7537.248064285941,4864895.7321000025,1.0,1.0
97,-7572.053273737431,4864882.3671180615,1.0,1.0
98,-7427.0744790509325,4864903.081479521,2.0,1.0
99,-7390.184700001031,4864838.919100001,2.0,2.0
100,-7637.195345453579,4864993.5205999985,1.0,0.0
101,-7633.39531578849,4864970.1708,3.0,0.0
102,-7363.282299999147,4864844.0207,2.0,2.0
103,-7363.159000001848,4864770.2973000035,1.0,2.0
104,-7350.146999999883,4864756.532166667,3.0,2.0
105,-7640.679200001061,4864913.532200001,2.0,0.0
106,-7408.539014138937,4864811.529825352,1.0,2.0
107,-7398.428199999034,4864769.216300003,0.0,2.0
108,-7633.278549999929,4864970.058799997,2.0,0.0
109,-7317.526099998502,4864818.296707691,1.0,2.0
110,-7308.779111966492,4864804.134827018,2.0,2.0
111,-7451.0409665480265,4864871.193009831,0.0,1.0
112,-7463.946534570306,4864830.765100002,0.0,1.0
113,-7457.755499999971,4864815.285700001,1.0,1.0
114,-7535.227970089763,4864893.273838371,3.0,1.0
115,-7322.59273043103,4864813.697499998,0.0,2.0
116,-7643.250362498686,4864932.3486,2.0,0.0
117,-7336.2989999987185,4864829.050399996,1.0,2.0
118,-7454.2391000017515,4864823.6099999985,0.0,1.0
119,-7519.111800000071,4864934.490199998,3.0,1.0
120,-7637.00230000168,4864905.532300002,2.0,0.0
121,-7366.169150000438,4864840.32,3.0,2.0
122,-7482.24318571495,4864889.13557857,1.0,1.0
123,-7427.0744790509325,4864903.081479521,2.0,1.0
124,-7391.930192384871,4864852.8002,2.0,2.0
125,-7568.053527798503,4864892.154664098,1.0,1.0
126,-7380.907000001519,4864852.706600003,0.0,2.0
127,-7638.80799999833,4864899.446350002,3.0,0.0
128,-7503.662099998443,4864884.812600002,3.0,1.0
129,-7676.643599998206,4864934.486199996,1.0,0.0
130,-7526.391455613078,4864919.34785118,1.0,1.0
131,-7315.743400000035,4864802.071500003,1.0,2.0
132,-7637.195345453579,4864991.777633333,1.0,0.0
133,-7404.705499999225,4864787.466200002,3.0,2.0
134,-7327.959273736924,4864813.9414136065,1.0,2.0
135,-7385.372800000012,4864769.4062,3.0,2.0
136,-7374.347500000149,4864845.630133333,3.0,2.0
137,-7646.3075999990115,4864927.950800002,3.0,0.0
138,-7506.529300000519,4864862.554300003,2.0,1.0
139,-7352.520300000906,4864833.494800001,1.0,2.0
140,-7318.694800000639,4864795.302100003,0.0,2.0
141,-7313.731119778007,4864792.063410872,4.0,2.0
142,-7650.165600001811,4864936.670500003,3.0,0.0
143,-7422.2589999996135,4864895.579300001,0.0,1.0
144,-7640.679200001061,4864907.044100001,3.0,0.0
145,-7436.1229000017065,4864890.83781962,0.0,1.0
146,-7448.133837742701,4864861.809054181,3.0,1.0
147,-7311.919399999082,4864807.624899997,3.0,2.0
148,-7352.564330744866,4864822.766999997,0.0,2.0
149,-7410.026599999515,4864887.749600002,0.0,1.0
150,-7370.290916494641,4864842.546637629,4.0,2.0
151,-7682.559099998325,4864938.275399998,2.0,0.0
152,-7391.084499999881,4864781.450599998,3.0,2.0
153,-7536.165800001471,4864895.777982356,2.0,1.0
154,-7318.341099999845,4864816.739699997,4.0,2.0
155,-7685.7234999984485,4864934.486199996,0.0,0.0
156,-7338.857999999075,4864825.9152000025,1.0,2.0
157,-7536.609699999914,4864918.117200002,2.0,1.0
158,-7643.428199999034,4864927.950800002,1.0,0.0
159,-7638.864527270876,4864999.3684,0.0,0.0
160,-7316.86719999835,4864820.5837,3.0,2.0
161,-7646.206399999559,4864937.056900002,1.0,0.0
162,-7312.662200000137,4864813.293499999,3.0,2.0
163,-7352.664768945427,4864829.44932691,0.0,2.0
164,-7345.411800000817,4864829.525731728,0.0,2.0
