,0,1,2,3
0,-7285.321154217635,4864774.014371184,1.0,2.0
1,-7390.642818849827,4864823.614224014,0.0,2.0
2,-7715.312892165555,4865013.136755937,1.0,0.0
3,-7375.1524165521205,4864822.393062992,0.0,2.0
4,-7368.249585491531,4864834.275317486,3.0,2.0
5,-7399.758946823622,4864861.514261606,3.0,2.0
6,-7513.871300238026,4864858.804765432,1.0,1.0
7,-7343.583700053609,4864817.391365149,1.0,2.0
8,-7541.439123318532,4864837.091741935,2.0,1.0
9,-7585.8494706200545,4864896.5113511,0.0,0.0
10,-7554.269076163965,4864932.323931403,3.0,1.0
11,-7315.795061538804,4864813.053846197,1.0,2.0
12,-7352.865823982788,4864833.906544128,1.0,2.0
13,-7496.799665475126,4864921.356091661,0.0,1.0
14,-7362.827057580518,4864779.980802579,0.0,2.0
15,-7452.463686013722,4864875.823266543,0.0,1.0
16,-7397.567536377996,4864860.0852489695,0.0,2.0
17,-7397.357522491191,4864801.556615243,1.0,2.0
18,-7444.95997418939,4864874.566009854,0.0,1.0
19,-7661.349392077609,4864912.487062509,0.0,0.0
20,-7300.133274415994,4864799.685027923,4.0,2.0
21,-7391.157593229241,4864857.156227039,3.0,2.0
22,-7484.6825457635705,4864831.103973458,1.0,1.0
23,-7471.08575188905,4864844.533445385,2.0,1.0
24,-7575.705329798889,4864953.993774292,3.0,0.0
25,-7456.083202241641,4864870.249220435,0.0,1.0
26,-7331.175622278262,4864797.904892598,0.0,2.0
27,-7575.400924734479,4864956.454748173,0.0,0.0
28,-7373.931111641947,4864814.348953703,3.0,2.0
29,-7329.175304620433,4864822.628384436,0.0,2.0
30,-7334.19593994003,4864810.349867116,0.0,2.0
31,-7638.581242989948,4864912.263734349,3.0,0.0
32,-7536.717293042603,4864937.512504539,1.0,1.0
33,-7607.5748696756955,4864999.209228539,3.0,0.0
34,-7279.942887133211,4864733.8352999715,3.0,2.0
35,-7627.466972254434,4864936.194971938,1.0,0.0
36,-7326.435897849977,4864797.44602832,0.0,2.0
37,-7575.061578926435,4864906.875713732,1.0,1.0
38,-7467.696164384565,4864870.030014702,0.0,1.0
39,-7532.383243050523,4864910.698684963,2.0,1.0
40,-7334.1409248894315,4864751.302626819,3.0,2.0
41,-7642.890812196318,4864916.581332013,2.0,0.0
42,-7573.564432812939,4864961.316663136,2.0,0.0
43,-7663.055202104755,4865007.527984671,2.0,0.0
44,-7369.1216126451745,4864841.043681506,2.0,2.0
45,-7401.654286502512,4864786.573737235,3.0,2.0
46,-7588.610185851065,4864957.763105023,0.0,0.0
47,-7362.179845112352,4864875.967483539,1.0,2.0
48,-7308.417963602131,4864803.91030635,1.0,2.0
49,-7579.827187144074,4864960.293076515,3.0,0.0
50,-7323.0642274123,4864810.298192612,2.0,2.0
51,-7587.405062408759,4864961.137245042,2.0,0.0
52,-7402.513793566739,4864859.152819058,3.0,2.0
53,-7525.674462351201,4864962.328329802,1.0,1.0
54,-7396.630161493312,4864813.026390827,0.0,2.0
55,-7614.969707190638,4864930.999941751,3.0,0.0
56,-7402.9189879055875,4864796.885032676,3.0,2.0
57,-7469.653632790523,4864834.000000825,1.0,1.0
58,-7432.587227896297,4864820.866781241,0.0,2.0
59,-7647.019802009653,4865011.179888233,2.0,0.0
60,-7651.117352657859,4864926.158913978,2.0,0.0
61,-7366.440528290065,4864836.537934016,0.0,2.0
62,-7607.828263712016,4864984.590341569,0.0,0.0
63,-7330.06016879493,4864818.532248561,0.0,2.0
64,-7488.380234862874,4864921.259298723,3.0,1.0
65,-7328.19692345652,4864754.743028475,1.0,2.0
66,-7609.436340875055,4864891.446750236,3.0,0.0
67,-7384.885054655372,4864849.553509087,0.0,2.0
68,-7356.413366247336,4864806.9647089,4.0,2.0
69,-7378.533241283121,4864779.396886742,4.0,2.0
70,-7348.760483578594,4864811.480688355,2.0,2.0
71,-7351.414890241947,4864786.09436615,3.0,2.0
72,-7400.82219116231,4864774.205256996,3.0,2.0
73,-7549.832425936646,4864953.082057031,1.0,1.0
74,-7390.980059813137,4864845.117596895,3.0,2.0
75,-7292.692636030309,4864800.168298876,2.0,2.0
76,-7306.511386108318,4864787.770894657,0.0,2.0
77,-7650.058872830662,4864999.905191351,3.0,0.0
78,-7329.807230434553,4864769.944152753,1.0,2.0
79,-7675.831840020573,4864938.176300915,1.0,0.0
80,-7308.374447713654,4864798.703588196,4.0,2.0
81,-7489.387244470571,4864834.59823934,2.0,1.0
82,-7309.435429096743,4864807.114288058,3.0,2.0
83,-7466.837028465008,4864854.422582037,0.0,1.0
84,-7454.676426006876,4864867.104467496,0.0,1.0
85,-7388.577451015389,4864838.342189257,4.0,2.0
86,-7381.804763129607,4864831.639483527,4.0,2.0
87,-7611.840079651421,4864977.131579152,1.0,0.0
88,-7450.468739035738,4864877.548648518,0.0,1.0
89,-7335.393603920292,4864820.570978431,3.0,2.0
90,-7662.3176917901155,4864916.540468535,2.0,0.0
91,-7335.037351913124,4864849.857104415,1.0,2.0
92,-7544.335282432707,4864898.955196887,1.0,1.0
93,-7380.010249879371,4864784.774256387,3.0,2.0
94,-7398.556537231222,4864859.975220627,0.0,2.0
