,0,1,2,3
0,-7320.078899998219,4864794.327799998,0.0,2.0
1,-7338.664300000668,4864825.80758,0.0,2.0
2,-7632.060099998862,4864972.213920004,1.0,0.0
3,-7347.753760000319,4864832.672520002,0.0,2.0
4,-7360.2275399990385,4864838.681840003,3.0,2.0
5,-7371.5666400000455,4864845.883839999,3.0,2.0
6,-7505.8983000017715,4864863.759759997,1.0,1.0
7,-7331.84442000091,4864822.024259996,1.0,2.0
8,-7522.958803988992,4864846.946938111,2.0,1.0
9,-7639.6909999996415,4864914.912799999,1.0,0.0
10,-7536.859459999949,4864896.609100002,3.0,1.0
11,-7324.538399999588,4864817.970899999,1.0,2.0
12,-7343.564519999922,4864832.170320002,1.0,2.0
13,-7523.494399998336,4864951.885300003,0.0,1.0
14,-7342.435300000013,4864756.9575999975,0.0,2.0
15,-7429.430854929239,4864897.971107212,0.0,1.0
16,-7371.532862976193,4864846.726657926,0.0,2.0
17,-7374.728134038299,4864788.78854507,0.0,2.0
18,-7427.4587984286245,4864897.987153357,0.0,1.0
19,-7637.175999999046,4864901.254699999,0.0,0.0
20,-7316.4574000015855,4864800.7843,4.0,2.0
21,-7377.846599999814,4864852.802199997,3.0,2.0
22,-7456.653537828476,4864813.107839515,1.0,1.0
23,-7455.006580001116,4864829.679300002,2.0,1.0
24,-7609.2503999993205,4864978.160700001,3.0,0.0
25,-7421.30021238327,4864859.197052851,0.0,1.0
26,-7325.816599999368,4864795.372399999,0.0,2.0
27,-7633.242440000176,4864980.562220001,0.0,0.0
28,-7331.678499999642,4864767.5501200035,2.0,2.0
29,-7320.728439999372,4864816.768079997,0.0,2.0
30,-7359.297899998724,4864837.255099997,0.0,2.0
31,-7678.687519999594,4864932.7884599995,3.0,0.0
32,-7531.812879999726,4864927.79808,2.0,1.0
33,-7590.197319998591,4864985.203760001,3.0,0.0
34,-7337.394799999892,4864763.226999998,3.0,2.0
35,-7643.102560000122,4864947.820599998,1.0,0.0
36,-7333.1832000017175,4864822.766999997,0.0,2.0
37,-7541.168800000101,4864920.726800002,1.0,1.0
38,-7434.641952182352,4864853.812749017,0.0,2.0
39,-7528.816401548685,4864959.430612221,2.0,1.0
40,-7341.214999999851,4864756.341499998,3.0,2.0
41,-7667.351799998431,4864936.670500003,2.0,0.0
42,-7614.128380000591,4864976.762279999,3.0,0.0
43,-7626.865359999984,4864984.511039999,2.0,0.0
44,-7380.034815678,4864850.238355259,2.0,2.0
45,-7398.916980000585,4864785.508819999,3.0,2.0
46,-7640.248579999058,4865005.75824,0.0,0.0
47,-7377.139446662366,4864856.5699011395,1.0,2.0
48,-7327.929099999366,4864824.406999998,1.0,2.0
49,-7639.580259999632,4865004.773980002,3.0,0.0
50,-7319.125199999659,4864816.789500001,2.0,2.0
51,-7615.255760000646,4864976.879,3.0,0.0
52,-7365.753440000118,4864845.391600001,3.0,2.0
53,-7534.6607492424555,4864944.603447083,1.0,1.0
54,-7401.282599999011,4864789.622519999,0.0,2.0
55,-7647.381660000235,4864944.315200002,3.0,0.0
56,-7348.04581137225,4864757.264345257,3.0,2.0
57,-7467.548799999804,4864819.34204,1.0,1.0
58,-7408.338870193809,4864811.529825352,1.0,2.0
59,-7640.174759999662,4865008.763920003,2.0,0.0
60,-7639.598799999804,4864914.590620002,2.0,0.0
61,-7348.4160450592635,4864836.92144882,0.0,2.0
62,-7640.230200000106,4865007.04184,1.0,0.0
63,-7306.134234121442,4864813.740499848,0.0,2.0
64,-7524.611294072868,4864950.541820365,3.0,1.0
65,-7333.530379998685,4864766.9757199995,1.0,2.0
66,-7638.595199999212,4864906.301340002,3.0,0.0
67,-7375.18877999857,4864849.759519999,0.0,2.0
68,-7332.1088000014415,4864822.170999996,4.0,2.0
69,-7384.211300000548,4864776.0964,3.0,2.0
70,-7315.940124142915,4864795.990207593,2.0,2.0
71,-7405.22580000013,4864808.256200002,3.0,2.0
72,-7392.357000000774,4864780.615599997,3.0,2.0
73,-7527.789314907043,4864954.443120947,1.0,1.0
74,-7358.673419999332,4864839.641640002,3.0,2.0
75,-7319.9594200000165,4864818.163280002,2.0,2.0
76,-7318.971620000155,4864795.107240002,0.0,2.0
77,-7610.753280000388,4864977.729740001,3.0,0.0
78,-7334.927517676353,4864759.162229954,1.0,2.0
79,-7663.122719998656,4864935.822760002,1.0,0.0
80,-7326.994579999894,4864816.79276,4.0,2.0
81,-7469.88919999823,4864815.057400003,3.0,1.0
82,-7315.743400000035,4864802.071500003,3.0,2.0
83,-7472.038463924081,4864862.455084392,0.0,1.0
84,-7424.684580000489,4864862.16642,0.0,1.0
85,-7374.5613599993285,4864844.571060001,4.0,2.0
86,-7371.933999999614,4864844.265760001,4.0,2.0
87,-7594.267979999632,4864983.7206,1.0,0.0
88,-7426.097280000896,4864899.548439999,0.0,1.0
89,-7319.757220952959,4864815.648840616,3.0,2.0
90,-7638.239020000398,4864908.88918,1.0,0.0
91,-7370.329640913754,4864846.345453006,1.0,2.0
92,-7558.6242999993265,4864887.170619999,2.0,1.0
93,-7399.435620001704,4864786.214399997,3.0,2.0
94,-7350.667260239273,4864840.7049152795,0.0,2.0
95,-7321.721578197927,4864814.157465759,3.0,2.0
96,-7537.241000000386,4864895.7321000025,1.0,1.0
97,-7572.053273737431,4864882.3671180615,1.0,1.0
98,-7427.0744790509325,4864903.081479521,2.0,1.0
99,-7388.485140001028,4864840.286340001,2.0,2.0
100,-7637.177999999373,4864993.5205999985,1.0,0.0
101,-7633.386599998921,4864970.1708,3.0,0.0
102,-7363.282299999147,4864844.0207,2.0,2.0
103,-7351.826758581399,4864763.769096466,1.0,2.0
104,-7352.4134800001975,4864757.390000001,3.0,2.0
105,-7640.283920000493,4864914.08444,2.0,0.0
106,-7408.338870193809,4864811.529825352,1.0,2.0
107,-7333.069099999964,4864769.216300003,0.0,2.0
108,-7645.960400000215,4864947.534740002,2.0,0.0
109,-7316.906800001859,4864818.291699998,1.0,2.0
110,-7308.779111966492,4864804.134827018,2.0,2.0
111,-7451.0409665480265,4864871.193009831,0.0,1.0
112,-7456.842620000242,4864826.17222,0.0,1.0
113,-7457.755499999971,4864815.285700001,1.0,1.0
114,-7535.227970089763,4864893.273838371,3.0,1.0
115,-7311.534259998797,4864806.25936,0.0,2.0
116,-7642.302899999916,4864917.044120001,1.0,0.0
117,-7343.268759999424,4864831.095239998,1.0,2.0
118,-7454.172958914935,4864825.826489759,0.0,1.0
119,-7519.111800000071,4864949.509800002,3.0,1.0
120,-7636.818560001254,4864903.933480002,2.0,0.0
121,-7363.0737199999385,4864843.904880001,3.0,2.0
122,-7474.5186000004405,4864881.694559999,1.0,1.0
123,-7427.0744790509325,4864903.081479521,2.0,1.0
124,-7380.642871747166,4864848.990710403,2.0,2.0
125,-7560.290045558662,4864888.04577282,1.0,1.0
126,-7375.232339999079,4864851.142120003,0.0,2.0
127,-7637.445659999549,4864907.079420001,3.0,0.0
128,-7498.529777476191,4864889.984312988,3.0,1.0
